Greece,Guidelines,Crawled,https://www.dpa.gr/el/enimerwtiko/prakseisArxis?field_year_from=&field_year_to=&field_category=245&field_thematic=All&field_protocol_number=&field_keywords=
Hungary,decisions,notCrawled,https://www.naih.hu/hatarozatok-vegzesek?start=0;        https://www.naih.hu/index.php/hatarozatok-vegzesek/category/tag?tagid=27
Hungary,recommendations,notCrawled,https://www.naih.hu/ajanlasok
Hungary,notices,notCrawled,https://www.naih.hu/dontesek-adatvedelem-tajekoztatok-koezlemenyek
Hungary,resoutions,notCrawled,https://www.naih.hu/adatvedelmi-allasfoglalasok?start=0
Hungary,annual reports,notCrawled,https://www.naih.hu/eves-beszamolok
Ireland,decisions,Crawled,https://www.dataprotection.ie/en/dpc-guidance/law/decisions-exercising-corrective-powers-made-under-data-protection-act-2018
Ireland,judgements,Crawled,https://www.dataprotection.ie/en/dpc-guidance/law/judgments
Ireland,news,Crawled,https://www.dataprotection.ie/en/news-media/latest-news
Ireland,reports,Crawled,https://www.dataprotection.ie/en/dpc-guidance/publications
Ireland,blogs,Crawled,https://www.dataprotection.ie/en/dpc-guidance/blogs
Ireland,guidance,Crawled,https://www.dataprotection.ie/en/dpc-guidance
Italy,Injunctions,notCrawled,https://www.garanteprivacy.it/web/guest/home/ricerca/-/search/tipologia/Ordinanza%20ingiunzione%20o%20revoca
Italy,annual reports,notCrawled,https://www.garanteprivacy.it/home/attivita-e-documenti/documenti/relazioni-annuali
Italy,publications,notCrawled,https://www.garanteprivacy.it/home/attivita-e-documenti/documenti/collana-contributi
Italy,newsletter,notCrawled,https://www.garanteprivacy.it/home/ricerca/-/search/tipologia/Newsletter
Italy,interviews,notCrawled,https://www.garanteprivacy.it/home/stampa-comunicazione/interviste
Italy,hearings,notCrawled,https://www.garanteprivacy.it/home/attivita-e-documenti/documenti/audizioni
Latvia,decisions,notCrawled,https://www.dvi.gov.lv/lv/lemumi
Latvia,violations,notCrawled,https://www.dvi.gov.lv/lv/saraksts-par-publisko-tiesibu-subjektu-pielautajiem-vdar-prasibu-parkapumiem-un-noversanu
Latvia,annual reports,notCrawled,https://www.dvi.gov.lv/lv/publikacijas-un-parskati
Latvia,opinions,notCrawled,https://www.dvi.gov.lv/lv/dviskaidro
Latvia,guidance,notCrawled,https://www.dvi.gov.lv/lv/dvi; https://www.dvi.gov.lv/lv/edak-pamatnostadnes
Lithuania,decisions,notCrawled,https://vdai.lrv.lt/lt/naudinga-informacija/vdai-sprendimai-baudos-nurodymai-ir-kt
Lithuania,inspection reports,notCrawled,https://vdai.lrv.lt/lt/naudinga-informacija/patikrinimu-rezultatu-apibendrinimai
Lithuania,guidelines,notCrawled,https://vdai.lrv.lt/lt/naudinga-informacija/rekomendacijos-gaires-ir-kt
Luxemborg,opinions,notCrawled,https://cnpd.public.lu/fr/decisions-avis.html?r=f%2Faem_first_released%2F2021&
Luxemborg,guidelines,notCrawled,https://cnpd.public.lu/fr/dossiers-thematiques.html
Luxemborg,annual reports,notCrawled,https://cnpd.public.lu/fr/publications/rapports.html
Malta,decisions,notCrawled,https://idpc.org.mt/decisions/
Malta,guidelines,notCrawled,https://idpc.org.mt/for-organisations/guidelines/
Malta,news articles,notCrawled,https://idpc.org.mt/news/
Netherlands,decisions,notCrawled,https://autoriteitpersoonsgegevens.nl/nl/publicaties/boetes-en-sancties
Netherlands,reports,notCrawled,https://autoriteitpersoonsgegevens.nl/nl/publicaties/rapportages
Netherlands,opinions,notCrawled,https://autoriteitpersoonsgegevens.nl/nl/wetgevingsadviezen
Netherlands,public disclosure,notCrawled,https://autoriteitpersoonsgegevens.nl/nl/publicaties/wob-besluiten
Poland,decisions,notCrawled,https://uodo.gov.pl/pl/p/decyzje
Poland,tutorials,notCrawled,https://uodo.gov.pl/pl/383
Poland,videos,notCrawled,https://www.youtube.com/channel/UCEMz-1o3gOZPLDJKeEwa87g
Portugal,decisions,notCrawled,https://www.cnpd.pt/decisoes/historico-de-decisoes/?year=2021
Portugal,opinions,notCrawled,https://www.cnpd.pt/decisoes/historico-de-decisoes/?year=2021
Portugal,guidelines,notCrawled,https://www.cnpd.pt/organizacoes/orientacoes-e-recomendacoes/
Portugal,reports,notCrawled,https://www.cnpd.pt/cnpd/relatorios-de-atividades/
Romania,decsions,notCrawled,https://www.dataprotection.ro/?page=allnews&lang=ro
Romania,reports,notCrawled,https://www.dataprotection.ro/?page=allnews&lang=ro
Slovakia,fines,notCrawled,contained in annual reports
Slovakia,reports,notCrawled,https://dataprotection.gov.sk/uoou/sk/content/vyrocne-spravy
Slovakia,opinions,notCrawled,https://dataprotection.gov.sk/uoou/sk/main-content/metodiky-uradu
Slovenia,decisions,notCrawled,https://www.lexology.com/library/detail.aspx?g=fefb5628-a55a-4526-abdc-3777c39e7b3d
Slovenia,opinions,notCrawled,https://www.ip-rs.si/mnenja-gdpr/
Slovenia,guidelines,notCrawled,https://www.ip-rs.si/publikacije/priro%C4%8Dniki-in-smernice/
Slovenia,reports,notCrawled,https://www.ip-rs.si/publikacije/letna-poro%C4%8Dila/
Spain,decisions,notCrawled,https://www.aepd.es/es/informes-y-resoluciones/resoluciones?f%5B0%5D=ley_tipificacion_de_la_gravedad%3AReglamento%20General%20de%20Protecci%C3%B3n%20de%20Datos
Spain,reports,notCrawled,https://www.aepd.es/es/informes-y-resoluciones/informes-juridicos?f%5B0%5D=informes_disposiciones_estudiadas%3AReglamento%20General%20de%20Protecci%C3%B3n%20de%20Datos%20UE%202016/679
Spain,guides,notCrawled,https://www.aepd.es/es/guias-y-herramientas/guias
Spain,infographics,notCrawled,https://www.aepd.es/es/guias-y-herramientas/infografias
Spain,videos,notCrawled,https://www.aepd.es/es/guias-y-herramientas/videos
Spain,blog,notCrawled,https://www.aepd.es/es/prensa-y-comunicacion/blog
Sweden,decisions,notCrawled,https://www.imy.se/tillsyner/
Sweden,judgements,notCrawled,https://www.imy.se/tillsyner/
Sweden,publications,notCrawled,https://www.imy.se/publikationer/
Sweden,guidance,notCrawled,https://www.imy.se/verksamhet/dataskydd/dataskydd-pa-olika-omraden/
EDPB,decisions,notCrawled,https://edpb.europa.eu/our-work-tools/consistency-findings/binding-decisions_en
EDPB,Recommendations,notCrawled,https://edpb.europa.eu/our-work-tools/general-guidance/guidelines-recommendations-best-practices_en?f%5B0%5D=opinions_publication_type%3A98
EDPB,Guidelines,notCrawled,https://edpb.europa.eu/our-work-tools/general-guidance/guidelines-recommendations-best-practices_en?f%5B0%5D=opinions_publication_type%3A64
EDPB,opinions,notCrawled,https://edpb.europa.eu/our-work-tools/consistency-findings/opinions_en
EDPB,annual reports,notCrawled,https://edpb.europa.eu/about-edpb/about-edpb/annual-reports_en
EDPB,letters,notCrawled,https://edpb.europa.eu/our-work-tools/documents/letters_en
